IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.21.28,4,4,0.00,90.85,0.00
104.19.0.28,4,4,0.00,91.26,0.00
104.18.94.28,4,4,0.00,92.28,0.00
104.18.92.28,4,4,0.00,92.29,0.00
104.17.253.28,4,4,0.00,93.65,0.00
104.18.80.28,4,4,0.00,94.00,0.00
104.18.82.28,4,4,0.00,94.06,0.00
104.19.89.28,4,4,0.00,94.47,0.00
104.18.111.28,4,4,0.00,94.50,0.00
104.19.46.28,4,4,0.00,94.51,2.50
104.19.147.28,4,4,0.00,94.68,1.33
104.18.95.28,4,4,0.00,95.00,0.00
104.19.153.28,4,4,0.00,95.19,0.00
104.19.39.28,4,4,0.00,95.21,0.00
104.18.105.28,4,4,0.00,95.23,0.29
104.18.109.28,4,4,0.00,95.24,0.00
104.18.107.28,4,4,0.00,95.48,0.00
104.17.251.28,4,4,0.00,95.77,0.25
104.19.40.28,4,4,0.00,96.22,0.00
104.17.254.28,4,4,0.00,96.48,0.00
104.19.162.28,4,4,0.00,96.59,0.00
104.19.251.28,4,4,0.00,96.77,0.00
104.17.249.28,4,4,0.00,96.77,0.00
104.17.248.28,4,4,0.00,96.77,0.00
104.19.145.28,4,4,0.00,96.88,0.00
104.17.247.28,4,4,0.00,96.98,0.00
104.19.160.28,4,4,0.00,97.18,0.00
104.19.45.28,4,4,0.00,97.21,0.00
104.19.44.28,4,4,0.00,97.21,0.00
104.19.42.28,4,4,0.00,97.21,0.00
104.19.157.28,4,4,0.00,97.41,0.00
104.18.104.28,4,4,0.00,97.43,0.00
104.19.161.28,4,4,0.00,97.92,0.00
104.19.164.28,4,4,0.00,97.95,0.00
104.18.103.28,4,4,0.00,98.14,0.00
104.19.165.28,4,4,0.00,98.30,0.00
104.19.159.28,4,4,0.00,98.36,0.00
104.19.255.28,4,4,0.00,98.58,0.00
104.19.155.28,4,4,0.00,98.62,0.00
104.19.253.28,4,4,0.00,99.10,0.00
104.19.41.28,4,4,0.00,99.22,0.00
104.19.43.28,4,4,0.00,99.23,0.00
104.19.87.28,4,4,0.00,99.24,0.00
104.19.146.28,4,4,0.00,99.36,0.00
104.19.243.28,4,4,0.00,99.50,0.00
104.19.241.28,4,4,0.00,99.56,0.00
